location.address.city,description.sold_price_city_mean
Albany,251639.5185185185
Alexander,148000.0
Ampthill,120000.0
Annapolis,906917.3739130435
Antelope,400000.0
Antioch,1054854.1666666667
Arden Hills,675000.0
Atlanta,539696.3709677419
Boston,1455612.193877551
Carson City,523155.1379310345
Cave Creek,271500.0
Charleston,76410.9375
Columbia,252925.42372881356
Columbus,236990.38461538462
Concord,375500.0
Denver,716934.2592592592
Des Moines,219669.27536231885
Dover,322499.46405228757
Dublin,380000.0
Edmond,606800.0
Elgin,265534.36363636365
Frankfort,289805.4054054054
Glendale,342857.14285714284
Grove City,190000.0
Guilderland,295000.0
Hamilton,327590.9090909091
Hapeville,325000.0
Harrisburg,243230.6603773585
Hartford,367236.64122137404
Henrico,348629.78723404254
Highland Springs,332000.0
Indianapolis,249126.5939849624
Lansing,170433.10344827586
Lawrence,145000.0
Lincoln,322280.55555555556
Little Canada,393000.0
Little Rock,309953.3333333333
Loudonville,427636.36363636365
Mabelvale,150000.0
Madison,498260.37735849054
McFarland,331500.0
Menands,220000.0
Midwest City,106000.0
Montgomery,182757.4787878788
Mustang,320000.0
N/A,470000.0
Nashville,1085500.0
Oklahoma City,239065.625
Old Hickory,294000.0
Olympia,489353.64
Pegram,475000.0
Phoenix,583473.4609929078
Piedmont,185000.0
Providence,651889.9597315437
Raleigh,612046.6666666666
Richmond,446226.4117647059
Robbinsville,727777.7777777778
Sacramento,553992.1428571428
Saint Paul,354827.4379084967
Salem,418311.1971830986
Sandy Springs,603388.8888888889
Shoreview,471000.0
South Charleston,22000.0
Springfield,135548.14814814815
Tallahassee,315478.6918238994
Tolleson,445000.0
Trenton,186681.81818181818
Tumwater,452000.0
Verona,464615.3846153846
Yukon,342870.6666666667
