,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.county.name,garage_2_or_more,garage_3_or_more,high_ceiling,vaulted_ceiling,community_security_features,central_heat,recreation_facilities,master_bedroom,ranch,ensuite,fenced_yard,dishwasher,community_swimming_pool,front_porch,rental_property,carport,new_roof,basement,park,floor_plan,hardwood_floors,trails,fireplace,corner_lot,groundscare,single_story,dining_room,big_yard,big_lot,views,washer_dryer,family_room,disability_features,garage_1_or_more,open_floor_plan,two_or_more_stories,fixer_upper,farm,updated_kitchen,view,laundry_room,shopping,forced_air,modern_kitchen,city_view,central_air,swimming_pool,energy_efficient,community_outdoor_space
0,2001.0,0.0,345000,2.0,0.0,22651.0,1539.0,2.0,N/A,2.0,1.0,3.0,single_family,-76.865096,40.316612,Harrisburg,PA,Dauphin,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,1900.0,0.0,196000,0.0,0.0,2614.0,2429.0,0.0,N/A,3.0,1.0,3.0,multi_family,-76.900123,40.296987,Harrisburg,PA,Dauphin,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1971.0,0.0,205000,2.0,0.0,13504.0,1120.0,2.0,N/A,0.0,1.0,3.0,single_family,-76.757031,40.257449,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3,2013.0,0.0,295000,2.0,1.0,2688.0,2400.0,3.0,townhouse,1.0,2.0,3.0,townhomes,-76.821034,40.350224,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
4,1900.0,0.0,106000,0.0,0.0,871.0,1478.0,0.0,N/A,0.0,1.0,3.0,multi_family,-76.869911,40.259374,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1900.0,0.0,10000,1.0,5.0,871.0,1608.0,6.0,townhouse,0.0,3.0,5.0,townhomes,-76.866553,40.263267,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1900.0,0.0,71500,1.0,0.0,871.0,1528.0,1.0,townhouse,0.0,3.0,4.0,townhomes,-76.864711,40.259111,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
7,1940.0,0.0,100000,1.0,0.0,3920.0,728.0,1.0,N/A,0.0,1.0,2.0,single_family,-76.850466,40.279397,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
8,1957.0,0.0,208000,1.0,0.0,8712.0,1092.0,1.0,N/A,0.0,2.0,3.0,single_family,-76.847002,40.290513,Harrisburg,PA,Dauphin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
10,2019.0,0.0,346000,2.0,1.0,2370.0,1848.0,3.0,townhouse,2.0,2.0,3.0,townhomes,-76.832394,40.328954,Harrisburg,PA,Dauphin,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
11,1875.0,0.0,219900,1.0,1.0,29621.0,2966.0,2.0,N/A,0.0,2.0,4.0,single_family,-76.788065,40.338952,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
12,1938.0,0.0,195000,1.0,0.0,13504.0,1502.0,1.0,N/A,0.0,2.0,4.0,single_family,-76.785974,40.335667,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
13,1965.0,0.0,270000,2.0,0.0,8276.0,1486.0,2.0,N/A,0.0,1.0,3.0,single_family,-76.7735,40.27388,Harrisburg,PA,Dauphin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
15,1923.0,0.0,232000,1.0,1.0,27007.0,1742.0,2.0,N/A,1.0,2.0,3.0,single_family,-76.808913,40.305444,Harrisburg,PA,Dauphin,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1928.0,0.0,58000,1.0,0.0,2178.0,1080.0,1.0,townhouse,0.0,2.0,2.0,townhomes,-76.864906,40.274787,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1986.0,0.0,275000,2.0,1.0,9148.0,1300.0,3.0,N/A,1.0,1.0,3.0,single_family,-76.807205,40.287463,Harrisburg,PA,Dauphin,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19,1994.0,0.0,241500,2.0,1.0,2178.0,1600.0,3.0,townhouse,1.0,2.0,3.0,townhomes,-76.857392,40.305236,Harrisburg,PA,Dauphin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
20,2003.0,0.0,350000,2.0,1.0,13504.0,1884.0,3.0,N/A,2.0,2.0,3.0,single_family,-76.835758,40.27108,Harrisburg,PA,Dauphin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
